date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:26	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%226740aa56-302c%22	https://tb.co.th/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://tb.co.th/property/%c2%a2%c3%92%c3%82%c2%b7%c3%92%c3%87%c2%b9%c3%ac%c3%a0%c3%8e%c3%a9%c3%92%c3%8a%c3%ac-%c3%8b%c3%81%c3%99%c3%a8%c2%ba%c3%a9%c3%92%c2%b9%c3%87%c3%94%c3%a0%c3%88%c3%89%c3%8a%c3%98%c2%a2%c2%b9%c2%a4%c3%83-16-%c2%bb%c3%83%c3%90%c2%aa%c3%92%c3%8d%c3%98%c2%b7%c3%94%c3%88-90-%c3%8a%c3%81%c3%98%c2%b7%c3%83%c2%bb%c3%83%c3%92%c2%a1%c3%92%c3%83.p.95241)
14:20:27	1307880/1307880	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/css/mdi/fonts/materialdesignicons-webfont.eot?v=7.4.47	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/css/mdi/fonts/materialdesignicons-webfont6937.eot	(from https://tb.co.th/css/mdi/materialdesignicons.min.css)
14:20:28	403216/403216	---MC-	200	added ('OK')	font/woff2	date:Sat,%2019%20Oct%202024%2005:12:44%20GMT	https://tb.co.th/css/mdi/fonts/materialdesignicons-webfont.woff2?v=7.4.47	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/css/mdi/fonts/materialdesignicons-webfont6937.woff2	(from https://tb.co.th/css/mdi/materialdesignicons.min.css)
14:20:31	1307880/1307880	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/css/mdi/fonts/materialdesignicons-webfont.eot?	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/css/mdi/fonts/materialdesignicons-webfontd41d.eot	(from https://tb.co.th/css/mdi/materialdesignicons.min.css)
14:20:33	3223/3223	---MC-	200	added ('OK')	image/png	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/_/img/e95aace.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/_/img/e95aace.png	(from https://tb.co.th/_/9beca320b096cb1e8a21.css)
14:20:33	587984/587984	---MC-	200	added ('OK')	font/woff	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/css/mdi/fonts/materialdesignicons-webfont.woff?v=7.4.47	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/css/mdi/fonts/materialdesignicons-webfont6937.woff	(from https://tb.co.th/css/mdi/materialdesignicons.min.css)
14:20:33	1307660/1307660	---MCZ	200	added ('OK')	font/ttf	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/css/mdi/fonts/materialdesignicons-webfont.ttf?v=7.4.47	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/css/mdi/fonts/materialdesignicons-webfont6937.ttf	(from https://tb.co.th/css/mdi/materialdesignicons.min.css)
14:20:33	7319/7319	---MC-	200	added ('OK')	image/png	date:Sat,%2026%20Oct%202024%2015:54:42%20GMT	https://tb.co.th/_/img/0f1f99b.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/_/img/0f1f99b.png	(from https://tb.co.th/_/9beca320b096cb1e8a21.css)
14:20:34	9810/9810	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/sta-li.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/sta-li.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:20:34	17851/17851	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/images/sta-privilege-bg.jpg	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/sta-privilege-bg.jpg	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:20:34	566482/566482	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/Marketing-02.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/Marketing-02.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:20:38	445124/445124	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/Marketing-04.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/Marketing-04.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:20:39	1278789/1278789	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/Marketing-05.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/Marketing-05.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:20:47	1290240/1290240	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/SuccessStory-01.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/SuccessStory-01.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:20:50	1146129/1146129	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/SuccessStory-03.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/SuccessStory-03.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:20:54	1111967/1111967	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/SuccessStory-02.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/SuccessStory-02.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:20:54	1278971/1278971	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/SuccessStory-04.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/SuccessStory-04.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:20:56	223221/223221	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/The-Best-Property-16.jpg	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/The-Best-Property-16.jpg	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:20:56	172244/172244	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/The-Best-Property-13.jpg	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/The-Best-Property-13.jpg	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:20:56	23795/23795	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/The-Best-Property-14.jpg	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/The-Best-Property-14.jpg	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:20:59	253370/253370	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/Agent-01.jpg	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/Agent-01.jpg	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:00	11738/11738	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/Agent-06.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/Agent-06.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
